Cena,Další vybavení,Dispozice,Druh,Energetická náročnost budovy,K nastěhování,Kauce,Měsíční poplatky,Podlaží,Poznámka,Pronájem přidán,Provize realitní kanceláře,Vybavený,Výměra,data-id,data-idx,geo-lat,geo-lng,id
22 000 Kč/měsíc,"Myčka, Balkón",3+kk,Pronájem,G - (neuvedeno),Ihned,0 Kč,2 500 Kč/měsíc,2. patro,,před 2 dny,,Částečně,70 m2,3069726,9,50.08396,14.45343,#offer-9
20 000 Kč/měsíc,"Pračka, Myčka, Lednice",3+1,Pronájem,G - (neuvedeno),Ihned,40 000 Kč,3 000 Kč/měsíc,5. patro,,před 2 dny,,Úplně,57 m2,3069215,10,50.06309,14.42531,#offer-10
20 000 Kč/měsíc,,1+1,Pronájem,G - Mimořádně nehospodárná,Ihned,20 000 Kč,0 Kč/měsíc,4. patro,,před rokem,Bez provize,Vůbec,35 m2,2536952,11,50.0561,14.40545,#offer-11
25 000 Kč/měsíc,,3+kk,Pronájem,G - (neuvedeno),Ihned,30 001 Kč,5 000 Kč/měsíc,2. patro,,před dnem,Ano,Částečně,102 m2,3070258,12,50.03252,14.37717,#offer-12
20 000 Kč/měsíc,,2+kk,Pronájem,G - Mimořádně nehospodárná,,,,5. patro, + poplatky 1200 Kč + energie,před 2 dny,Info u RK,Úplně,66 m2,3069533,13,50.07747,14.41865,#offer-13
21 000 Kč/měsíc,,2+kk,Pronájem,G - Mimořádně nehospodárná,,,,5. patro, záloha na služby 1700 Kč záloha na služby 1700 Kč,před 2 dny,Info u RK,Úplně,50 m2,3069483,14,50.06636,14.41923,#offer-14
20 000 Kč/měsíc,,2+kk,Pronájem,G - Mimořádně nehospodárná,,,500 Kč/měsíc,3. patro," + 10 000,- Kč provize RK, energie se převádí na nájemce",před 2 dny,Info u RK,Částečně,51 m2,3069401,15,50.08587,14.45051,#offer-15
22 900 Kč/měsíc,,2+kk,Pronájem,G - Mimořádně nehospodárná,,,,8. patro," + poplatky 3500,-Kč, vratná kauce (2 x měsíční nájem včetně energií - lze rozložit do dvou splátek)",před 3 dny,Info u RK,Částečně,78 m2,3068789,16,49.32251,17.027929999999998,#offer-16
23 000 Kč/měsíc,,2+kk,Pronájem,C - Úsporná,,,,6. patro," + poplatky, + provize RK ve výši jednoho nájmu.",před 6 dny,Ano,Úplně,65 m2,3067743,17,50.07464,14.44681,#offer-17
21 000 Kč/měsíc,Balkón,3+kk,Pronájem,C - Úsporná,,,,4. patro," plus 2 500 Kč jako měsíční zálohy za vodné, stočné, teplou vodu, topení a dále plus úhrada za elektřinu a internet",před 6 dny,Info u RK,Vůbec,68 m2,3060435,18,50.11515,14.5652,#offer-18
23 500 Kč/měsíc,"Pračka, Myčka, Lednice, Sklep, Balkón",3+kk,Pronájem,G - (neuvedeno),Ihned,23 500 Kč,0 Kč/měsíc,2. patro,,před 2 dny,Ano,Úplně,70 m2,3069358,19,50.06868,14.35529,#offer-19
22 000 Kč/měsíc,Sklep,dům,Pronájem,G - (neuvedeno),,,,, + poplatky cca 3.900 kč,před 3 dny,Info u RK,Částečně,90 m2,3068950,0,50.02758,14.64049,#offer-0
21 000 Kč/měsíc,,1+1,Pronájem,G - Mimořádně nehospodárná,,,,2. patro," Poplatky 3000 Kč, energie 3000 Kč",před 3 dny,Info u RK,Úplně,40 m2,3068625,1,50.07205,14.44143,#offer-1
25 000 Kč/měsíc,"Sklep, Balkón",2+1,Pronájem,G - Mimořádně nehospodárná,,,2 000 Kč/měsíc,3. patro,,před 5 dny,Info u RK,Vůbec,81 m2,3068225,2,50.11022,14.3774,#offer-2
21 000 Kč/měsíc,,1+1,Pronájem,G - Mimořádně nehospodárná,,,,3. patro, + poplatky 5000 Kč,před 6 dny,Ano,Úplně,40 m2,3067857,3,50.07205,14.44143,#offer-3
25 000 Kč/měsíc,,2+1,Pronájem,G - Mimořádně nehospodárná,,,,3. patro, + poplaty,před 6 dny,Info u RK,Úplně,68 m2,3067637,4,50.07254,14.43897,#offer-4
25 000 Kč/měsíc,,dům,Pronájem,G - Mimořádně nehospodárná,,,,2. patro, + zálohy na služby 6.000 Kč + vratná kauce 31.000 Kč + provize RK 25.000 Kč,před 7 dny,Info u RK,Částečně,290 m2,3067085,5,49.9704,14.06087,#offer-5
25 000 Kč/měsíc,Sklep,2+kk,Pronájem,G - Mimořádně nehospodárná,,,,5. patro," služby a energie, kauce",před 7 dny,Info u RK,Úplně,52 m2,3067059,6,50.09278,14.43007,#offer-6
20 000 Kč/měsíc,Balkón,3+kk,Pronájem,G - (neuvedeno),,,,11. patro," + poplatky včetně elektřiny 5500,- Kč, 5500",před 7 dny,Info u RK,Úplně,81 m2,3067048,7,50.08045,14.49896,#offer-7
20 000 Kč/měsíc,Sklep,3+kk,Pronájem,G - Mimořádně nehospodárná,,,,3. patro," + poplatky za služby 3000,- Kč + elektřina, kauce jeden měsíční nájem, provize jeden měsíční nájem",před 8 dny,Info u RK,Částečně,74 m2,3066348,8,50.01468,14.4459,#offer-8
24 990 Kč/měsíc,Balkón,2+kk,Pronájem,G - Mimořádně nehospodárná,,,,4. patro," + poplatky podle spotřeby cca 5000. Garáž 4000,- Kč.",před 4 dny,Info u RK,Částečně,70 m2,3046274,9,50.06979000000001,14.43451,#offer-9
25 000 Kč/měsíc,,dům,Pronájem,C - Úsporná,,,,Přízemí,,před 9 dny,Info u RK,Částečně,101 m2,2810910,10,50.15087,14.50011,#offer-10
22 000 Kč/měsíc,Sklep,4+kk,Pronájem,G - Mimořádně nehospodárná,,,,3. patro," + poplatky 4000,-",před 7 dny,Info u RK,Částečně,72 m2,2792706,11,50.02329,14.44743,#offer-11
21 000 Kč/měsíc,,3+1,Pronájem,C - Úsporná,,,,2. patro," + poplatky cca 4000,-",před dnem,Info u RK,Vůbec,97 m2,3072460,12,50.10205,14.41865,#offer-12
21 000 Kč/měsíc,,1+kk,Pronájem,F - Velmi nehospodárná,,,,5. patro, + poplatky 5000 Kč,před 6 dny,Info u RK,Úplně,35 m2,3067731,13,50.07403,14.44081,#offer-13
21 000 Kč/měsíc,,1+kk,Pronájem,F - Velmi nehospodárná,,,,3. patro, + poplatky 5000 Kč,před 6 dny,Info u RK,Úplně,35 m2,3067639,14,50.07403,14.44081,#offer-14
24 000 Kč/měsíc,,2+kk,Pronájem,G - Mimořádně nehospodárná,,,,1. patro, + poplatky 5000 Kč,před 6 dny,Info u RK,Úplně,42 m2,3067636,15,50.07202,14.43653,#offer-15
24 900 Kč/měsíc,,3+1,Pronájem,G - Mimořádně nehospodárná,,,,4. patro, + zálohy na služby 4600 Kč + elektřina,před 13 dny,Info u RK,Vůbec,105 m2,3064624,16,50.09416,14.46408,#offer-16
24 500 Kč/měsíc,,3+1,Pronájem,G - Mimořádně nehospodárná,,,,5. patro," + služby 350 Kč/os./měsíc + převod energií na nájemníka, kauce 2 nájmy",před 13 dny,Info u RK,Vůbec,103 m2,3064471,17,50.07626,14.44197,#offer-17
20 000 Kč/měsíc,Balkón,3+kk,Pronájem,B - Velmi úsporná,,,,7. patro, V ceně nejsou zahrnuty poplatky a zálohy na elektřinu,před 14 dny,Ano,Částečně,72 m2,3063985,18,50.03149000000001,14.363079999999998,#offer-18
23 000 Kč/měsíc,"Pračka, Lednice",2+1,Pronájem,G - (neuvedeno),5. 1. 2019,46 000 Kč,4 000 Kč/měsíc,2. patro,,před 10 dny,Ano,Úplně,50 m2,3059326,19,50.09041,14.4298,#offer-19
20 000 Kč/měsíc,Balkón,2+kk,Pronájem,C - Úsporná,,,,3. patro," + poplatky cca 4.200,- + el.",před 6 dny,Info u RK,Úplně,62 m2,3067737,0,50.10273,14.45278,#offer-0
25 000 Kč/měsíc,Balkón,3+kk,Pronájem,G - Mimořádně nehospodárná,,,,5. patro," + poplatky za služby a energie 4700,- Kč, kauce 25000,-Kč, provize RK 25000,-Kč",před 6 dny,Ano,Částečně,84 m2,3067692,1,50.05778,14.42142,#offer-1
24 900 Kč/měsíc,,3+1,Pronájem,G - (neuvedeno),,,,4. patro," služby včetně vody a topení 4600,-/měsíc + elektřina na nájemce.",před 14 dny,Info u RK,Částečně,105 m2,3064075,2,50.09416,14.46408,#offer-2
25 000 Kč/měsíc,Sklep,dům,Pronájem,G - Mimořádně nehospodárná,,,,Přízemí, + převod elektřiny a poplatky za odpad,před 16 dny,Info u RK,Vůbec,200 m2,3062934,3,49.97143,14.7385,#offer-3
22 000 Kč/měsíc,"Pračka, Myčka, Lednice, Balkón",2+kk,Pronájem,G - (neuvedeno),Ihned,22 000 Kč,3 816 Kč/měsíc,4. patro,,před 16 dny,Ano,Úplně,68 m2,3062610,4,50.06972,14.39943,#offer-4
22 000 Kč/měsíc,,3+kk,Pronájem,G - Mimořádně nehospodárná,,,,3. patro," +2.300,- Kč zálohy na služby; +poplatek RK",před 21 dny,Info u RK,Úplně,80 m2,3060774,5,49.17812,16.61965,#offer-5
